,Week_Of,Mon,Tue,Wed,Thu,Fri
285,2001 Jul-30 to Aug- 3,3.28,3.31,3.27,3.15,3.06
286,2001 Aug- 6 to Aug-10,3.07,3.16,3.11,3.10,2.99
287,,,,,,
288,2001 Aug-13 to Aug-17,3.00,3.05,3.15,3.46,3.24
289,2001 Aug-20 to Aug-24,3.17,3.18,3.20,2.87,2.77
290,2001 Aug-27 to Aug-31,2.61,2.57,2.46,2.47,2.15
291,2001 Sep- 3 to Sep- 7,,2.23,2.34,2.43,2.36
292,2001 Sep-10 to Sep-14,2.38,2.38,2.44,2.39,2.41
293,,,,,,
294,2001 Sep-17 to Sep-21,2.36,2.18,2.13,2.06,2.04
295,2001 Sep-24 to Sep-28,1.99,1.94,1.88,1.90,1.80
296,2001 Oct- 1 to Oct- 5,1.74,1.83,1.97,2.13,2.11
297,2001 Oct- 8 to Oct-12,2.02,2.11,2.22,2.41,2.28
298,2001 Oct-15 to Oct-19,2.26,2.51,2.61,2.39,2.31
299,,,,,,
300,2001 Oct-22 to Oct-26,2.61,2.82,2.67,3.15,3.06
301,2001 Oct-29 to Nov- 2,3.21,3.11,3.07,2.99,2.93
302,2001 Nov- 5 to Nov- 9,2.87,2.72,2.73,2.68,2.61
303,2001 Nov-12 to Nov-16,2.45,2.38,2.29,1.99,1.69
304,2001 Nov-19 to Nov-23,2.08,2.55,1.91,,
305,,,,,,
306,2001 Nov-26 to Nov-30,1.79,1.87,2.30,2.19,1.83
307,2001 Dec- 3 to Dec- 7,2.10,2.00,1.89,1.81,2.11
308,2001 Dec-10 to Dec-14,2.28,2.58,2.57,2.40,2.40
309,2001 Dec-17 to Dec-21,2.40,2.40,2.40,2.40,2.40
310,2001 Dec-24 to Dec-28,,,2.40,2.40,2.40
311,,,,,,
312,2001 Dec-31 to Jan- 4,2.40,,2.55,2.58,2.58
313,2002 Jan- 7 to Jan-11,2.58,2.39,2.31,2.32,2.32
314,2002 Jan-14 to Jan-18,2.32,2.32,2.38,2.40,2.28
315,2002 Jan-21 to Jan-25,,2.28,2.28,2.13,2.03
316,2002 Jan-28 to Feb- 1,2.03,2.03,2.28,2.28,2.28
317,,,,,,
318,2002 Feb- 4 to Feb- 8,2.28,2.28,2.14,2.17,2.21
319,2002 Feb-11 to Feb-15,2.22,2.39,2.37,2.26,2.18
320,2002 Feb-18 to Feb-22,,2.32,2.41,2.40,2.40
321,2002 Feb-25 to Mar- 1,2.40,2.46,2.49,2.49,2.51
322,2002 Mar- 4 to Mar- 8,2.66,2.63,2.52,2.73,2.82
323,,,,,,
324,2002 Mar-11 to Mar-15,2.90,2.94,2.97,2.78,2.99
325,2002 Mar-18 to Mar-22,3.15,3.33,3.29,3.20,3.57
326,2002 Mar-25 to Mar-29,3.46,3.59,3.35,3.18,
327,2002 Apr- 1 to Apr- 5,3.43,3.72,3.68,3.56,3.31
328,2002 Apr- 8 to Apr-12,3.36,3.25,3.25,3.14,3.07
329,,,,,,
